t,adc
0.0148104,13
0.0149226,17
0.0150348,379
0.015147,379
0.0152592,379
0.0153714,340
0.0154836,339
0.0155958,341
0.015708,23
0.0158202,5
0.0159324,4
0.0160446,13
0.0161568,17
0.016269,379
0.0163812,380
0.0164934,378
0.0166056,339
0.0167178,339
0.01683,341
0.0169422,23
0.0170544,5
0.0171666,3
0.0172788,13
0.017391,19
0.0175032,379
0.0176154,379
0.0177276,378
0.0178398,338
0.017952,339
0.0180642,341
0.0181764,23
0.0182886,5
0.0184008,4
0.018513,13
0.0186252,19
0.0187374,379
0.0188496,379
0.0189618,378
0.019074,339
0.0191862,339
0.0192984,341
0.0194106,25
0.0195228,5
0.019635,4
0.0197472,13
0.0198594,19
0.0199716,379
0.0200838,379
0.020196,378
0.0203082,339
0.0204204,339
0.0205326,342
0.0206448,25
0.020757,5
0.0208692,3
0.0209814,13
0.0210936,23
0.0212058,379
0.021318,380
0.0214302,378
0.0215424,339
0.0216546,339
0.0217668,341
0.021879,25
0.0219912,5
0.0221034,2
0.0222156,14
0.0223278,23
0.02244,379
0.0225522,379
0.0226644,378
0.0227766,338
0.0228888,339
0.023001,341
0.0231132,25
0.0232254,5
0.0233376,4
0.0234498,13
0.023562,23
0.0236742,379
0.0237864,379
0.0238986,378
0.0240108,338
0.024123,339
0.0242352,342
0.0243474,25
0.0244596,5
0.0245718,0
0.024684,14
0.0247962,23
0.0249084,379
0.0250206,379
0.0251328,378
0.025245,338
0.0253572,339
0.0254694,342
0.0255816,19
0.0256938,5
0.025806,0
0.0259182,14
0.0260304,166
0.0261426,379
0.0262548,380
0.026367,377
0.0264792,338
0.0265914,339
0.0267036,342
0.0268158,15
0.026928,5
0.0270402,0
0.0271524,14
0.0272646,341
0.0273768,379
0.027489,379
0.0276012,377
0.0277134,338
0.0278256,340
0.0279378,343
0.02805,9
0.0281622,5
0.0282744,0
0.0283866,14
0.0284988,341
0.028611,379
0.0287232,380
0.0288354,371
0.0289476,338
0.0290598,340
0.029172,343
0.0292842,7
0.0293964,4
0.0295086,0
0.0296208,14
0.029733,342
0.0298452,379
0.0299574,380
0.0300696,364
0.0301818,338
0.030294,340
0.0304062,343
0.0305184,6
0.0306306,5
0.0307428,0
0.030855,14
0.0309672,343
0.0310794,379
0.0311916,379
0.0313038,359
0.031416,338
0.0315282,340
0.0316404,343
0.0317526,6
0.0318648,4
0.031977,0
0.0320892,14
0.0322014,358
0.0323136,379
0.0324258,380
0.032538,354
0.0326502,338
0.0327624,340
0.0328746,17
0.0329868,6
0.033099,4
0.0332112,0
0.0333234,14
0.0334356,379
0.0335478,380
0.03366,380
0.0337722,349
0.0338844,338
0.0339966,340
0.0341088,19
0.034221,6
0.0343332,4
0.0344454,0
0.0345576,14
0.0346698,379
0.034782,379
0.0348942,380
0.0350064,345
0.0351186,338
0.0352308,341
0.035343,19
0.0354552,6
0.0355674,4
0.0356796,0
0.0357918,15
0.035904,379
0.0360162,379
0.0361284,379
0.0362406,340
0.0363528,339
0.036465,341
0.0365772,23
0.0366894,6
0.0368016,4
0.0369138,0
0.037026,15
0.0371382,379
0.0372504,379
0.0373626,378
0.0374748,339
0.037587,339
0.0376992,341
0.0378114,23
0.0379236,5
0.0380358,4
0.038148,4
0.0382602,15
0.0383724,379
0.0384846,379
0.0385968,378
0.038709,338
0.0388212,339
0.0389334,341
0.0390456,23
0.0391578,5
0.03927,4
0.0393822,12
0.0394944,22
0.0396066,379
0.0397188,379
0.039831,378
0.0399432,339
0.0400554,339
0.0401676,343
0.0402798,23
0.040392,5
0.0405042,4
0.0406164,13
0.0407286,23
0.0408408,379
0.040953,379
0.0410652,378
0.0411774,338
0.0412896,339
0.0414018,341
0.041514,25
0.0416262,5
0.0417384,3
0.0418506,14
0.0419628,23
0.042075,379
0.0421872,380
0.0422994,377
0.0424116,338
0.0425238,339
0.042636,342
0.0427482,20
0.0428604,5
0.0429726,2
0.0430848,13
0.043197,341
0.0433092,379
0.0434214,380
0.0435336,368
0.0436458,338
0.043758,339
0.0438702,343
0.0439824,11
0.0440946,5
0.0442068,0
0.044319,14
0.0444312,342
0.0445434,379
0.0446556,379
0.0447678,359
0.04488,338
0.0449922,339
0.0451044,343
0.0452166,6
0.0453288,5
0.045441,0
0.0455532,14
0.0456654,352
0.0457776,379
0.0458898,380
0.046002,352
0.0461142,338
0.0462264,340
0.0463386,59
0.0464508,6
0.046563,4
0.0466752,0
0.0467874,14
0.0468996,378
0.0470118,379
0.047124,380
0.0472362,345
0.0473484,338
0.0474606,340
0.0475728,19
0.047685,6
0.0477972,5
0.0479094,0
0.0480216,15
0.0481338,379
0.048246,379
0.0483582,378
0.0484704,339
0.0485826,338
0.0486948,340
0.048807,23
0.0489192,5
0.0490314,4
0.0491436,0
0.0492558,15
0.049368,379
0.0494802,380
0.0495924,378
0.0497046,339
0.0498168,339
0.049929,341
0.0500412,23
0.0501534,5
0.0502656,4
0.0503778,0
0.05049,19
0.0506022,379
0.0507144,380
0.0508266,378
0.0509388,338
0.051051,338
0.0511632,341
0.0512754,23
0.0513876,5
0.0514998,4
0.051612,11
0.0517242,23
0.0518364,379
0.0519486,379
0.0520608,378
0.052173,338
0.0522852,339
0.0523974,342
0.0525096,25
0.0526218,5
0.052734,3
0.0528462,13
0.0529584,26
0.0530706,379
0.0531828,379
0.053295,374
0.0534072,338
0.0535194,339
0.0536316,342
0.0537438,21
0.053856,5
0.0539682,2
0.0540804,13
0.0541926,342
0.0543048,379
0.054417,379
0.0545292,360
0.0546414,338
0.0547536,340
0.0548658,343
0.054978,9
0.0550902,5
0.0552024,0
0.0553146,14
0.0554268,345
0.055539,380
0.0556512,379
0.0557634,351
0.0558756,338
0.0559878,339
